   Objekt,   Masse (kg), Radius (km),Geschw. (km/s),   Bahn (km)
------------,---------------,-------------,--------------,--------------
Sonne," 1,9889 x 10^30",696321,,
------------,---------------,-------------,--------------,--------------
Merkur," 3,3022 x 10^23","2439,76","47,8725",57909175
------------,---------------,-------------,--------------,--------------
Venus," 4,8685 x 10^24","6051,59","35,0214",108208930
------------,---------------,-------------,--------------,--------------
Erde," 5,9737 x 10^24","6378,15","29,7859",149597890
------------,---------------,-------------,--------------,--------------
Mars," 6,4185 x 10^23",3397,"24,1309",227936640
------------,---------------,-------------,--------------,--------------
Jupiter," 1,8987 x 10^27","71492,68","13,0697",778412020
------------,---------------,-------------,--------------,--------------
Saturn," 5,6851 x 10^26","60267,14","9,6724",1426725400
------------,---------------,-------------,--------------,--------------
Uranus," 8,6849 x 10^25",25559,"6,8352",2870972200
------------,---------------,-------------,--------------,--------------
Neptun," 1,0244 x 10^26",24764,"5,4778",4498252900
